Meter_ID,Building_Code,Billing_Start_Date,Billing_End_Date,Total_kWh,Peak_kWh,OffPeak_kWh,Amount_Billed
MTR-9921,BLDG-A,2023-12-15,2024-01-14,14500,4500,10000,1740.50
MTR-9921,BLDG-A,2024-01-15,2024-02-14,13200,4000,9200,1584.00
MTR-8810,BLDG-B,2023-12-18,2024-01-17,8900,,8900,979.00
MTR-8810,BLDG-B,2024-01-18,2024-02-17,9100,1200,7900,1001.00
MTR-9921,BLDG-A,2024-02-15,2024-03-14,13800,4200,9600,1656.00
MTR-8810,BLDG-B,2024-02-18,2024-03-17,9200,1100,8100,1012.00
MTR-9930,BLDG-C,2023-12-20,2024-01-19,10400,3600,6800,1248.00
MTR-9930,BLDG-C,2024-01-20,2024-02-19,9800,3400,6400,1176.00
MTR-9921,BLDG-A,2024-03-15,2024-04-14,12700,3800,8900,1524.00
MTR-8810,BLDG-B,2024-03-18,2024-04-17,9400,1150,8250,1034.00
MTR-9930,BLDG-C,2024-02-20,2024-03-19,9600,3200,6400,1152.00
MTR-9942,BLDG-D,2024-01-01,2024-01-31,11200,4100,7100,1344.00
MTR-9942,BLDG-D,2024-02-01,2024-02-29,10800,3900,6900,1296.00
