DOCNUM,DATUM,WERKS,MATNR,MAKTX,MENGE,MEINS
10000001,15.01.2024,P100,F-001,Dieselkraftstoff,500,L
10000002,01/16/2024,P200,F-002,Unleaded Gas,150,GAL
10000003,17.01.2024,P100,F-001,Dieselkraftstoff,1200,L
10000004,18-01-2024,P300,E-001,Generator Oil,50,L
10000005,20.01.2024,P200,F-003,Hydraulic Fluid,300,L
10000006,22.01.2024,P100,F-001,Dieselkraftstoff,750,L
10000007,24.01.2024,P400,F-004,AdBlue,200,L
10000008,26.01.2024,P300,E-002,Compressor Oil,80,L
10000009,01.02.2024,P100,F-001,Dieselkraftstoff,650,L
10000010,03.02.2024,P200,F-005,Diesel Exhaust Fluid,180,L
10000011,05.02.2024,P300,E-003,Hydraulic Oil,90,L
10000012,07-02-2024,P400,F-006,Brake Fluid,40,L
10000013,09.02.2024,P100,F-001,Dieselkraftstoff,980,L
10000014,11.02.2024,P200,F-002,Unleaded Gas,280,GAL
